author,published_at,updated_at,like_count,text
@Wilsonrdcoc,2024-10-03T04:10:04Z,2024-10-03T04:18:30Z,0,"Another Human on this big Rock with you all. Everyone has big dreams, goals and plans on this short time we have under the sun, but I want to also inform you that the most important thing to accomplish in this Life is to know your Creator and to do His will. After life on this Rock ends it is not over. We must be Judged my Jesus Christ. <br><br>2Cor.5:10 For we must all appear before the judgment seat of Christ; that every one may receive the things done in his body, according to that he hath done, whether it be good or bad.<br><br>Eccl.<a href=""https://www.youtube.com/watch?v=4Tm6Z1y3h94&amp;t=733"">12:13</a>-14 Let us hear the conclusion of the whole matter: Fear God, and keep his commandments: for this is the whole duty of man.  For God shall bring every work into judgment, with every secret thing, whether it be good, or whether it be evil.<br><br>Below it shows us that God is the God of the living describing Abraham, Isaac and Jacob. All three are dead in the flesh, but Alive Spiritually. In the end there will be a Resurrection of the good and bad. The good will come out of Paradise to be taken into Heaven and the bad will be taken out of Hell to be put in the Lake of Fire.<br><br>Matt.<a href=""https://www.youtube.com/watch?v=4Tm6Z1y3h94&amp;t=1350"">22:30</a>-33 For in the resurrection they neither marry, nor are given in marriage, but are as the angels of God in heaven. But as touching the resurrection of the dead, have ye not read that which was spoken unto you by God, saying, I am the God of Abraham, and the God of Isaac, and the God of Jacob? God is not the God of the dead, but of the living. And when the multitude heard this, they were astonished at his doctrine.<br><br>Rev.20:13-15 And the sea gave up the dead which were in it; and death and hell delivered up the dead which were in them: and they were judged every man according to their works. And death and hell were cast into the lake of fire. This is the second death. And whosoever was not found written in the book of life was cast into the lake of fire.<br><br>John.<a href=""https://www.youtube.com/watch?v=4Tm6Z1y3h94&amp;t=328"">5:28</a>-29 Marvel not at this: for the hour is coming, in the which all that are in the graves shall hear his voice, And shall come forth; they that have done good, unto the resurrection of life; and they that have done evil, unto the resurrection of damnation.<br><br>God sent down His only begotten Son (John.<a href=""https://www.youtube.com/watch?v=4Tm6Z1y3h94&amp;t=196"">3:16</a>) to die for our sins.. He took our sins in his body (1Peter.<a href=""https://www.youtube.com/watch?v=4Tm6Z1y3h94&amp;t=144"">2:24</a>), Crucified the Old Law to the Cross (Hebrews.<a href=""https://www.youtube.com/watch?v=4Tm6Z1y3h94&amp;t=555"">9:15</a>-17), purchased the church with His own blood (Acts.<a href=""https://www.youtube.com/watch?v=4Tm6Z1y3h94&amp;t=1227"">20:27</a>-28) and broke the wall of partition between Jew and Gentile (Ephesians.<a href=""https://www.youtube.com/watch?v=4Tm6Z1y3h94&amp;t=134"">2:14</a>) <br><br>To be saved one must hear that Jesus died on that cross for the purposes listed above. That is the good news! He commanded that all nations be taught, that they believe, repent and be baptized for the remission of sins and to receive the gift of the Holy Ghost. <br><br>Acts.<a href=""https://www.youtube.com/watch?v=4Tm6Z1y3h94&amp;t=158"">2:38</a> Then Peter said unto them, Repent, and be baptized every one of you in the name of Jesus Christ for the remission of sins, and ye shall receive the gift of the Holy Ghost.<br><br>Matt.<a href=""https://www.youtube.com/watch?v=4Tm6Z1y3h94&amp;t=1698"">28:18</a>-20 And Jesus came and spake unto them, saying, All power is given unto me in heaven and in earth. Go ye therefore, and teach all nations, baptizing them in the name of the Father, and of the Son, and of the Holy Ghost:<br><br>Jesus will add you to the church in the Bible the church of Christ....<br><br>Acts.<a href=""https://www.youtube.com/watch?v=4Tm6Z1y3h94&amp;t=167"">2:47</a> Praising God, and having favour with all the people. And the Lord added to the church daily such as should be saved.<br><br>Matthew.<a href=""https://www.youtube.com/watch?v=4Tm6Z1y3h94&amp;t=978"">16:18</a> And I say also unto thee, That thou art Peter, and upon this rock I will build my church; and the gates of hell shall not prevail against it.<br><br>Ephesians.4:4-6 There is one body, and one Spirit, even as ye are called in one hope of your calling; One Lord, one faith, one baptism, One God and Father of all, who is above all, and through all, and in you all.<br><br>Romans.<a href=""https://www.youtube.com/watch?v=4Tm6Z1y3h94&amp;t=976"">16:16</a> Salute one another with an holy kiss. The churches of Christ salute you.<br><br>I pray you take heed and visit a church of Christ in your area, ask questions on what you have to do to be saved and request for Biblical examples and answers on how they were saved in the New Testament after Christ died, buried and resurrected. If you desire to learn more or have a question, please search on our channel for a topic and most likely we have a video on it.  Or you can find our numbers on various videos and text us!<br><br>Have a wonderful day!"
@terrymckenzie8786,2024-09-30T18:40:22Z,2024-09-30T18:40:22Z,1,"The only thing meaningful you can do in this life, is help the less fortunate. Other than that, your life is a wasted time."
@pn2543,2024-09-30T08:38:49Z,2024-09-30T08:38:49Z,0,Carl Sagan&#39;s Symphony of Science has a better message than this nihilism
@Sktrott,2024-09-29T12:12:05Z,2024-09-29T12:12:05Z,4,"You’re here because God gave you life, and you’re on this planet in space because God created it for you to live on and live out his purpose for you. No need for an existential crisis - open the Bible."
@KkPete2011,2024-09-27T23:25:43Z,2024-09-27T23:25:43Z,1,This doesnt make me feel better. This basically said &quot;Whatever you do doesnt matter&quot;
@MindsetRevolutionEPN,2024-09-26T20:48:46Z,2024-09-26T20:48:46Z,0,"This was such a calming and powerful message! It’s easy to get caught up in the cycle of stress and anxiety, but this video is a great reminder to focus on what we can control and let go of the rest. I loved the point about how worrying doesn&#39;t change the outcome but does drain our energy. It’s all about mindset— shifting from worry to action, or even just being present, can really transform how we experience challenges. Thank you for the uplifting perspective; this is definitely something I’ll revisit whenever I feel overwhelmed!"
@henrytowle3194,2024-09-26T00:14:26Z,2024-09-26T00:14:26Z,0,One more pile of 💩
@TysonMichael77,2024-09-24T20:21:42Z,2024-09-24T20:21:42Z,0,This actually gave me a lot of release and relief ❤
@adamJKpunk,2024-09-24T19:13:05Z,2024-09-24T19:13:05Z,1,Well. That was unhelpful.
@someone-ke4qj,2024-09-23T03:50:50Z,2024-09-23T03:50:50Z,1,We should worry but about our future after we die. As we know the things that are seen are temporal but the unseen things of the world are eternal. So what matters is that which cannot be seen. Like love or hate. The things of the spirit.
@Affcreatordigital24,2024-09-22T07:49:13Z,2024-09-22T07:49:13Z,0,"Hello, best wishes, I hope you are always healthy, I hope you always grow, and I hope that as a beginner I can develop like you in the long struggle to form a channel that many people like, greetings monetization warriors🙏"
@ErikA-un2yw,2024-09-21T16:52:56Z,2024-09-21T16:52:56Z,0,Yes f being here I&#39;m ready to leave....hells waiting
@TweSunshine,2024-09-20T04:27:21Z,2024-09-20T04:27:21Z,0,I have my first in office day tomorrow.
@Mp310780,2024-09-17T23:54:06Z,2024-09-17T23:54:06Z,1,"We are all in the same boat, might as well enjoy the ride as best you can while it lasts..."
@herbsandflowers8152,2024-09-16T20:31:07Z,2024-09-16T20:31:07Z,0,So so absurd
@thegentleman03,2024-09-15T01:53:24Z,2024-09-15T02:10:53Z,2,(Im high Right now) So WHEN WE GET TOO HIGH you start to feel so many questionable questions rushing into your brain. Because of being high AT THE FIRST SECOND  when we finding something out. WE FEEL EXCITED  and then LATER on WE GET DEPRESSED because we ask ourselves why or how and we try to solve them. (Like a rabbit hole) And we start to panick. YOU MADE THIS VIDEO of you explaining the existence around us but not giving out the answer non stop. Making us questioning ours non stop WITHOUT GETTING TOO INTO DETAILS like if its Infinitely bad or good. Or in other words YOU BREAK THE CYCLE FEELING OF HOW WE QUESTION OURSELFS
@feelinghappy7412,2024-09-14T17:36:16Z,2024-09-14T17:36:16Z,0,Sometimes I  wonder how long will Taylor Swift be remembered. I love her
@Marc-kw4tk,2024-09-12T15:26:25Z,2024-09-12T15:26:25Z,0,This is depressing asf!
@gloxpresssfitness6834,2024-09-11T14:21:07Z,2024-09-11T14:21:07Z,0,"Real words, I felt this hard in me"
@cherbug1197,2024-09-10T05:04:39Z,2024-09-10T05:04:39Z,2,Basically you are nothing! 😂
@teethpaste4947,2024-09-07T13:13:39Z,2024-09-07T13:13:39Z,1,"This is genuinely one of the worst videos ever made on this site, I have no clue how it has garnered this many views."
@MotivationSquad83,2024-09-07T07:04:09Z,2024-09-07T07:04:09Z,0,"It&#39;s crazy to think about time and the size of everything, and we&#39;re here doing what we&#39;re doing. I hope everyone is OK today 😊"
@working19977,2024-09-07T00:37:49Z,2024-09-07T00:37:49Z,0,Make it a beautiful death yet i breathe
@altonyoung3734,2024-09-06T22:13:57Z,2024-09-06T22:14:49Z,2,"Being an only child, this video always helps when I feel &quot;alone&quot;.✔️"
@withercow8333,2024-09-05T16:39:04Z,2024-09-05T16:39:04Z,0,Thank you
@LucidSim,2024-09-04T07:37:36Z,2024-09-04T07:37:36Z,0,He talks like he knows what happens after death and for all we know we continue without our consciousness elsewhere and life is forever. <br>Quantum immortality
@LucidSim,2024-09-04T07:36:07Z,2024-09-04T07:36:07Z,0,I’m dying inside now. Thanks a lot
@Johnmarston2011,2024-08-29T17:08:15Z,2024-08-29T17:08:15Z,2,"Wow that took away a lot of worry, too bad I still have to slave my life away just have a roof over my head and food on my plate."
@PSILoveYou2391,2024-08-28T22:56:35Z,2024-08-28T22:56:35Z,0,“To be kind and decent”
@Stranger_Strange_Land,2024-08-27T17:26:17Z,2024-08-27T17:26:17Z,0,"If you came here for a reason not to end it, this is the wrong video"
@ss.7536,2024-08-27T16:49:08Z,2024-08-27T16:49:08Z,0,"Yes, it cured my anxiety but now I&#39;m depressed"
@michwriter,2024-08-26T06:08:57Z,2024-08-26T06:08:57Z,1,You have totally missed the point of our essence as energy beings and that all our energy/deeds remains here carved even in the rocks. The westerners will never realize what spirituality is no matter how hard they try.. sorry to say that but it is reality.
@saph100,2024-08-25T17:51:54Z,2024-08-25T17:51:54Z,2,The amount of stupidity that attracted religious and spiritual people here is beyond disgusting and disgraceful.
@sussyppop9630,2024-08-25T13:02:23Z,2024-08-25T13:02:23Z,0,"I know this video was posted now 5 years ago but why are there 3 <a href=""http://voices.it/"">voices.It</a> is very distracting"
@sharidavis6547,2024-08-24T14:19:43Z,2024-08-24T14:19:43Z,1,I’m literally in tears … I should have watched this
@radosawprochhnicki7667,2024-08-23T13:24:38Z,2024-08-23T13:24:38Z,0,"😂😂😂 Projekcja manipulacji i symulacji, pranie mózgu oglądającego by go złamać zniszczyć i zrównać z błotem... by poczuł się nikim mniej niż zero... zabić dobre idee, zniechęcić do dalszej podróży.... Wiesz co ja na to? Angielski gest ✌️i 🖕damned hipocrites 😂😢 To co piszesz jest odzwierciedleniem twojej duszy lub jej braku..."
@nelsonolivera8059,2024-08-23T03:19:40Z,2024-08-23T03:19:40Z,0,Our planet is just a tiny dot in the Universe that keeps expanding and me? I don&#39;t even know it.
@RickAlfaro-ProSigns,2024-08-22T06:54:10Z,2024-08-22T06:54:10Z,0,I guess there&#39;s no room for God in this place.
@Cstigter95,2024-08-19T21:44:14Z,2024-08-19T21:44:14Z,2,Not sure if this healed my anxiety or give me depression
@robinarmstrong8886,2024-08-19T21:12:12Z,2024-08-19T21:12:12Z,6,"I love that this teaches us that anything we think or worry about is insignificant to the universe, but also that it means that against a background of worthlessness, literally anything we think or do has meaning."
@asmodeus0454,2024-08-18T19:21:51Z,2024-08-18T19:21:51Z,3,"This video&#39;s message is the clear truth. When we die and join the anonymous dead, it is to the world at large as if we had never existed in the first instance. That&#39;s life--and death."
@Innovate-X360,2024-08-18T17:04:12Z,2024-08-18T17:04:12Z,1,If you hear...i am there 😂
@chibaja9500,2024-08-18T14:10:44Z,2024-08-18T14:10:44Z,2,"The problem to our existence is our consciousness. If not for this, we would float along existing in our own versions of time."
@Nyir-lr9mc,2024-08-18T09:16:43Z,2024-08-18T09:16:43Z,2,"Who are you? You just admitted YOU don’t know, so you CANT teach! Absolutely insane."
@Fasaiemaryam,2024-08-18T02:17:00Z,2024-08-18T02:17:00Z,1,I love this video. It reminds me everything I need to hear.
@monicalgarcia1,2024-08-17T22:05:10Z,2024-08-17T22:05:10Z,1,W. O. W. Best reality check ever!!! 🦋
@vincentkingsdale8334,2024-08-17T00:55:05Z,2024-08-17T00:55:05Z,3,"I still have to live amongst my tiny idiot neighbors and tiny idiot coworkers, living by the tiny lowest common denominator"
@Kerzj1,2024-08-16T18:31:03Z,2024-08-16T18:31:13Z,0,😎🌎
@mindhealsbody-soul,2024-08-15T04:46:19Z,2024-08-15T04:46:19Z,1,"For those who ask for eyes to see and ears to hear, life is very meaningful and magical"
@ivanwilfred4004,2024-08-14T14:11:02Z,2024-08-14T14:11:02Z,1,"&quot;.. to Have fun, to love, to laugh,to cry,to try,to fail.. to live.. and rember that no matter what happens you can still do all of these things&quot;... Wow.. those words took out a lot of anxiety from me!!"
@Homelander66-y1q,2024-08-14T04:10:24Z,2024-08-14T04:10:24Z,0,me: i feel worthless and nothing<br>the universe : you think you exited in my empire🤣🤣 you don&#39;t even matter bro
@mehdichikh7378,2024-08-13T16:18:58Z,2024-08-13T16:18:58Z,192,"A few years back, I was really struggling with depression and mental health issues. I was hooked on cigarettes and alcohol, but then my wife suggested I try psilocybin mushroom therapy. Honestly, it saved my life. It&#39;s been 11 years since I&#39;ve been totally clean. Those shrooms are like a miracle."
@Ye-wonseulji-tz6wn,2024-08-12T15:59:10Z,2024-08-12T15:59:10Z,0,This kind of works holy shmoly (i know im late)
@pratyakshparashar2623,2024-08-12T10:54:07Z,2024-08-12T10:54:07Z,0,"&quot;I can live with doubt and uncertainty and not knowing, rather than believing something which is not true.&quot;  -Richard P. Feynman"
@Documentary81,2024-08-11T16:24:26Z,2024-08-11T16:24:26Z,0,"Cheers mate, that&#39;s me not sleeping for the next five days"
@ChrisGratton-hd3dk,2024-08-09T10:00:34Z,2024-08-09T10:00:34Z,0,I love spaces it’s so cool
@maverick817,2024-08-08T13:58:08Z,2024-08-08T13:58:08Z,0,Thanks!! This helped way more than other videos 🫡
@Chikeola,2024-08-07T17:11:57Z,2024-08-07T17:11:57Z,0,"Thank you for my first laugh of the day, 5 years later...and 👍🏼for this brilliance."
@aastha_bhandari,2024-08-07T14:36:18Z,2024-08-07T14:36:18Z,1,The comments helped me more than the actual video
@leahdubskushlyfe,2024-08-07T02:36:56Z,2024-08-07T02:36:56Z,0,Where has this channel been all my life
@lizzie-wizzie,2024-08-06T11:06:35Z,2024-08-06T11:06:35Z,0,and still i&#39;m unhappy as fuck
@binkybunsssss,2024-08-05T15:38:10Z,2024-08-05T15:38:10Z,0,"For some reason, this video really is effective to me. Whenever I feel overwhelmed, I just replay this over and over again and I always feel better"
@AutumnWhimzy,2024-08-05T03:52:56Z,2024-08-05T03:52:56Z,0,"<a href=""https://www.youtube.com/watch?v=4Tm6Z1y3h94&amp;t=20"">0:20</a> im  not there thi?"
@Meam-x1c,2024-08-04T20:35:20Z,2024-08-04T20:35:20Z,2,It’s so sad that people don’t know what islam is ! 😢 thanks to allah he give us everything we need to know about who we are and what to do in this life in the quran ، and that’s a huge relief from anxiety and fear! I really wish all people to know how beautiful islam is 😔😔😔😔😔
@Meam-x1c,2024-08-04T20:34:59Z,2024-08-04T20:34:59Z,0,It’s so sad that people don’t know what islam is ! 😢 thanks to allah he give us everything we need to know about who we are and what to do in this life in the quran ، and that’s a huge relief from anxiety and fear! I really wish all people to know how beautiful islam is 😔😔😔😔😔
@marlencitaflores,2024-08-04T14:38:32Z,2024-08-04T14:38:32Z,0,Simone Biles lives here! that&#39;s amazing 😀
@user-xy1xi3hd8f,2024-08-04T07:48:04Z,2024-08-04T07:48:04Z,0,"Dear Pursuit of Wonder....wow many thanks for this...a great service for all folks on Earth to have a clear perspective to be humble, do good, and be kind to each other. Live long and prosper sir.👍❤🖖🙏"
@costacarolas,2024-08-03T23:49:41Z,2024-08-03T23:49:41Z,0,i mean thank god
@DenDrobiazko,2024-08-03T16:14:40Z,2024-08-03T16:14:40Z,1,Watching this high or drunk must be crazy...
@amrsheair2252,2024-08-03T00:22:53Z,2024-08-03T00:22:53Z,0,Some how I am more anxious
@AnotherCreep,2024-08-01T15:33:50Z,2024-08-01T15:33:50Z,0,Man I was HIGH
@rsyvbh,2024-07-31T16:16:28Z,2024-07-31T16:16:28Z,0,Shit i just got more depressed
@PhilBert-sh3nk,2024-07-31T11:24:06Z,2024-07-31T11:24:06Z,0,This is hot garbage
@miryamroldan3686,2024-07-30T22:09:34Z,2024-07-30T22:09:34Z,0,"Interesante, que bueno que también estuviera este canal en español.....<br>Gracias desde Colombia"
@dubiousreal,2024-07-29T20:13:40Z,2024-07-29T20:13:40Z,0,dude i went to a website and it started saying your ip is being used without your permission so that’s why I’m here. but now I’m worried about my ip being destroyed xd nice video
@daisy_maeHQ,2024-07-29T14:20:46Z,2024-07-29T14:20:46Z,1,Me: I’m worried about what waits for me on the other side… Maybe this video will help me!<br><br>The video: <b>Everyone dies and nothing matters…</b><br><br>Me: Oh ok…
@jellyungot,2024-07-29T06:04:13Z,2024-07-29T06:04:13Z,1,&quot; why are you so unbothered&quot;<br><br>&quot; Why would i? Im just a random person existing on this piece of crust of a floating specific rock rotating on jts designated spot.&quot;
@koolkeiths,2024-07-28T02:29:00Z,2024-07-28T02:29:00Z,1,This was amazing
@timojarun7830,2024-07-25T21:32:27Z,2024-07-25T21:32:27Z,0,Fck this!
@sebastianblackfyre,2024-07-25T16:38:19Z,2024-07-25T16:38:19Z,1,It’s stressing when this video gets so many views while many hard working YouTuber’s get none
@seahorses_forever839,2024-07-24T04:24:45Z,2024-07-24T04:24:45Z,0,Jesus is why we are here.
@kgzymsc,2024-07-18T17:21:19Z,2024-07-18T17:21:19Z,1,It&#39;s funny but so true😂
@realsuperwolfes,2024-07-17T11:48:25Z,2024-07-17T11:48:25Z,1,I know exactly why I am here. Thank God
@System-change-SL,2024-07-14T20:12:45Z,2024-07-14T20:12:45Z,0,"If you can go little bit further, your existence is applicable as far as you breathe. If it&#39;s stopped even listening to this video is not exist. So what, a moment of sense because you are still breathing.  Let it go, no point of holding it. If you hold, that&#39;s the only cause for suffering.<br>This is the ultimate truth of me and mine. I learnt it from Buddha&#39;s teachings."
@tgjnr148,2024-07-09T21:56:22Z,2024-07-09T21:56:22Z,1,Emm actually I jumped so technically I wasn’t there
@siciliano1984,2024-07-09T20:24:34Z,2024-07-09T20:24:34Z,0,"This Boy is claiming to have all Answeres to problems <a href=""https://www.youtube.com/watch?v=W8ZjgshsVl4"">https://youtu.be/W8ZjgshsVl4?si=gbi-bj00kmFnYGx9</a> T"
@AlayaCurry-z6k,2024-07-09T13:55:48Z,2024-07-09T13:55:48Z,2,"❤ Meaningful Meaninglessness.....🎉 That is the definition. Absolutely amazing, I&#39;m enjoying every minute of it😂❤😂"
@JoshuaTraffanstedt,2024-07-09T03:38:41Z,2024-07-09T03:38:41Z,0,"It&#39;s a crazy life. For years you knew nothing. Then bam you have your first memory (maybe you busted your eye open or stepped on a nail or something traumatic as a kid), you grow up and the days seem to last forever. I remember summer break used to seem like a year. Then when you get older the dys and years just fly by. Dont ever put goals off until later. There will come a time when its definitely too late.and you think back to those things with regret. Dont live for regrets. Take that cruise vacation you keep putting off, go back and finish your degree, get married and make some babies, learn to play an instrument or a new language, buy that new car youve had your eye on, whatever. There will come a day when the lights go out and youll never know anything again. Its kind of a beautiful thing, but its also depressing. We&#39;re the only beings that even ponder these things. A monkey doesn&#39;t ask why when he eats a piece of fruit. He just does. My cats dont worry. They just sit in my life and probably think that will lsst forever. Man.."
@luka4044,2024-07-09T00:38:21Z,2024-07-09T00:38:21Z,3,It does not matter you still have to deal with BS...this philosophy is just fucking stupid..
@honeydate,2024-07-08T23:30:16Z,2024-07-08T23:30:16Z,1,I’m still tired of life!
@Nithin-o9s,2024-07-07T09:51:06Z,2024-07-07T09:51:06Z,1,why &quot;and you move on like everything else&quot; in the end felt so satisfying
@Nithin-o9s,2024-07-07T03:15:06Z,2024-07-07T03:15:06Z,0,I have a huge anxiety and this video and I think this video relived me from it
@rowsaurus,2024-07-06T18:45:35Z,2024-07-06T18:45:35Z,0,think i need go watch this again
@ToriiDawdy,2024-07-05T12:36:16Z,2024-07-05T12:36:16Z,0,"Yes , a double shot of the void will chase away little day ro day anxieties...."
@hamzaasmaabdoulkarim4724,2024-07-04T17:23:50Z,2024-07-04T17:23:50Z,0,How did you know no one does
@Nicholas_Triumph_Thruxton,2024-07-03T00:53:47Z,2024-07-03T00:53:47Z,1,"This is the truth, which terrifies many."
@-keiji,2024-07-01T02:04:46Z,2024-07-01T02:04:46Z,0,This literally brought me back to my senses. I was trying to watch a video to stop a panic attack..IT WORKED
@mattamuzza,2024-06-30T18:27:23Z,2024-06-30T18:28:15Z,4,"i don’t understand how this is supposed to help anybody’s anxiety because regardless of how much bigger the universe is than us, real world consequences still exist. yes, an exam doesn’t compare to the grandiosity of the universe or even just the solar system, but it is still important for a comfortable and happy life lol if you stop caring about things because they don’t matter in this sense, your real life will be miserable and you will feel it then."
@dardourcacaww,2024-06-29T20:29:10Z,2024-06-29T20:29:10Z,0,8448
@leanidis300,2024-06-27T01:39:58Z,2024-06-27T01:39:58Z,3,I suppose this represents an individual who has no faith or spiritual beliefs.
@CyberFighter-hu7xo,2024-06-26T22:32:53Z,2024-06-26T22:32:53Z,1,Earth is not a spinning ball. Space is fake
@lovebusinessenglish,2024-06-26T15:08:19Z,2024-06-26T15:08:19Z,0,What a wonderfully simple and beautiful explanation of the meaning of life!
@Markaras,2024-06-24T23:08:47Z,2024-06-24T23:08:56Z,0,"<a href=""https://www.youtube.com/watch?v=4Tm6Z1y3h94&amp;t=218"">3:38</a>"
@Hhhhaaattt,2024-06-24T14:08:34Z,2024-06-25T18:54:27Z,2,"I find this very relaxing,and  comforting."
@AmbientWalking,2024-06-23T16:16:26Z,2024-06-23T16:16:26Z,0,Wow. Thanks for this. Really helped!
@shohanashobnam3157,2024-06-17T18:13:34Z,2024-06-17T18:13:34Z,2,Yes I have an exam and I couldn&#39;t prepare for it. I actually feel paralyzed guys 😭
@Orangeveggiemaster,2024-06-15T21:10:00Z,2024-06-15T21:10:00Z,0,this does not help i am now questioning my existence
@jesseerickson662,2024-06-15T14:30:16Z,2024-06-15T14:30:16Z,0,Whelp! It must really suck to not believe in God and afterlife.
@enneaf1676,2024-06-15T02:03:32Z,2024-06-15T02:03:32Z,5,I am comforted by the fact that I am inconsequential. Human existence is a royally absurd pain in the ass
@roccocoyote,2024-06-14T18:26:42Z,2024-06-14T18:26:42Z,0,the universe is like some dead beat dad out there doing nobody knows what and you are left with a pack of menthol cigarettes he left behind
@joerichardson5036,2024-06-14T14:34:06Z,2024-06-14T14:34:06Z,0,Me: struggling to sleep at 3am<br>Youtube: “Here’s a video explaining the sheer futility and meaningless of your existence”
@HappyLotusFlower-cu2jy,2024-06-14T08:19:23Z,2024-06-14T08:19:23Z,0,I mean basically you made me feel worse no hate
@ASDF84.0,2024-06-13T20:50:03Z,2024-06-13T20:50:03Z,0,Life is a journey no reason to worry nor stress.
@CaraRiedell-wf3bc,2024-06-13T20:38:22Z,2024-06-13T20:38:22Z,1,This is making me feel like shit.
@SuckYaMam847,2024-06-13T07:34:45Z,2024-06-13T07:34:45Z,1,Currently having a nightmare acid trip
@bluemoondaren,2024-06-12T08:37:17Z,2024-06-12T08:37:17Z,0,I absolutely love this video….cool
@robertperez86,2024-06-12T01:41:57Z,2024-06-12T01:41:57Z,0,Well said
@kkkk-bb6ko,2024-06-11T22:01:47Z,2024-06-11T22:01:47Z,1,"like I could give a shit that the world will keep spinning, I earn nothing from that and it&#39;s just my own loss and really hearing it doesn&#39;t matter is what you would say until something shitty happens to yourself, then you&#39;re as angry"
@601marcusable,2024-06-10T18:37:11Z,2024-06-10T18:37:11Z,1,This gave me understanding
@NicolasSchaII,2024-06-09T22:37:07Z,2024-06-09T22:37:07Z,0,Such a bs of a video.
@kevinfarrell523,2024-06-09T19:40:25Z,2024-06-09T19:40:25Z,0,Utter utter rubbish!!!
@ivar.x3,2024-06-07T20:15:47Z,2024-06-07T20:15:47Z,1,"Yes i do know why iam here , and thanks have no time for thes negative videos &quot;yOu DoNt kNoW wHy YoU aRe HeRe&quot;"
@CopperRiver,2024-06-05T16:10:21Z,2024-06-05T16:10:21Z,0,"I’m anxious since like 4 because I knew I’ll die in a blink, even without any accident taking my life.<br>All the anxiety comes from the fact that I’ll die. If I didn’t have to, I things wouldn’t have really mattered cause I could just try again and again for unlimited times.<br>To me life is a forever rush against time, life fleeting and the rush permanent😅"
@barbaradrotor3471,2024-06-05T14:09:51Z,2024-06-05T14:09:51Z,1,So sad without God and without hope! Thank God for His Son Jesus Christ. That&#39;s the true wonder❤
@Keenan.64,2024-06-04T22:41:24Z,2024-06-04T22:41:24Z,0,W
@danielcarvalho1453,2024-06-03T20:23:21Z,2024-06-03T20:23:21Z,0,OK but there are still consequences in life
@flovv4580,2024-06-03T12:29:20Z,2024-06-03T12:29:20Z,1,"“We have two lives, and the second begins when we realize we only have one.”<br>― Confucius"
@Lee-nr7ob,2024-06-02T19:16:33Z,2024-06-02T19:16:33Z,0,I already have existence anxiety I&#39;m watching the generation that kept the our family together goung away I wish I was more like them
@Serviervorschlag-,2024-06-01T22:44:47Z,2024-06-01T22:44:47Z,1,Now that I know that most people on Earth do not know me and that we all will die and be forgotten I am really happy and not anxious anymore. 😂🤪
@user-ex4si2md6r,2024-06-01T08:18:20Z,2024-06-01T08:18:20Z,0,It&#39;s all...&quot;relativity&quot;.
@AlanSito-md2ji,2024-06-01T07:10:37Z,2024-06-01T07:10:37Z,0,Relax dont be scared dont care
@amyrangel6164,2024-05-30T22:11:47Z,2024-05-30T22:11:47Z,1,I loved this!
@SquallNN,2024-05-29T20:59:58Z,2024-05-29T20:59:58Z,0,Why does it not comfort me to know I&#39;m tiny?
@nondesperado,2024-05-28T05:57:35Z,2024-05-28T05:57:35Z,0,YouTube video: “You are here”.<br><br>Me: “Yeah? Well so are the things that worry me”.
